anio,sexo,via,continente,rango_edad,total
2023,Mujer,Vía terrestre,Europa,25-39,3174
2023,Hombre,Vía Marítimo,América,60+,1624
2023,Mujer,Vía Marítimo,América,60+,1588
2023,Mujer,Vía terrestre,Europa,<25,1479
2023,Hombre,Vía terrestre,Europa,<25,1465
2023,Hombre,Vía Aérea,Asia,60+,1429
2023,Hombre,Vía terrestre,Europa,40-59,1333
2023,Hombre,Vía Marítimo,Europa,60+,1328
2023,Mujer,Vía Marítimo,Europa,60+,1218
2023,Mujer,Vía Aérea,Asia,60+,1161
2023,Hombre,Vía Aérea,Oceanía,25-39,1035
2023,Mujer,Vía Aérea,Oceanía,25-39,1012
2023,Mujer,Vía Aérea,Oceanía,60+,951
2023,Hombre,Vía Aérea,Oceanía,60+,909
2023,Hombre,Vía Aérea,África,25-39,810
2023,Mujer,Vía Aérea,Oceanía,40-59,740
2023,Hombre,Vía Aérea,Oceanía,40-59,724
2023,Hombre,Vía terrestre,Europa,60+,712
2023,Mujer,Vía terrestre,Europa,40-59,686
2023,Hombre,Vía Marítimo,Asia,25-39,421
2023,Hombre,Vía Marítimo,Europa,40-59,404
2023,Hombre,Vía Marítimo,América,40-59,396
2023,Mujer,Vía Aérea,Oceanía,<25,334
2023,Hombre,Vía terrestre,Asia,<25,324
2023,Hombre,Vía Marítimo,América,25-39,324
2023,Hombre,Vía terrestre,Asia,25-39,321
2023,Hombre,Vía Aérea,Oceanía,<25,319
2023,Hombre,Vía Marítimo,Europa,25-39,293
2023,Mujer,Vía terrestre,Europa,60+,290
2023,Hombre,Vía Marítimo,Asia,40-59,282
2023,Mujer,Vía Marítimo,Europa,40-59,264
2023,Hombre,Vía Aérea,África,40-59,234
2023,Hombre,Vía Aérea,África,<25,227
2023,Mujer,Vía Aérea,África,25-39,219
2023,Hombre,Vía terrestre,Asia,40-59,190
2023,Hombre,Vía terrestre,Oceanía,25-39,187
2023,Mujer,Vía terrestre,Asia,<25,175
2023,Mujer,Vía Marítimo,América,40-59,171
2023,Mujer,Vía terrestre,Asia,25-39,169
2023,Mujer,Vía Marítimo,Europa,25-39,167
2023,Hombre,Vía fluvial,América,25-39,166
2023,Hombre,Vía fluvial,América,40-59,150
2023,Mujer,Vía fluvial,América,25-39,147
2023,Mujer,Vía terrestre,Oceanía,25-39,121
2023,Mujer,Vía fluvial,América,40-59,117
2023,Hombre,Vía Marítimo,Europa,<25,100
2023,Mujer,Vía terrestre,Asia,40-59,100
2023,Hombre,Vía fluvial,América,<25,98
2023,Mujer,Vía Marítimo,América,25-39,98
2023,Mujer,Vía Aérea,África,40-59,94
2023,Hombre,Vía Marítimo,Oceanía,60+,90
2023,Mujer,Vía Marítimo,Oceanía,60+,89
2023,Mujer,Vía Marítimo,Europa,<25,83
2023,Mujer,Vía Aérea,África,<25,82
2023,Mujer,Vía fluvial,América,<25,77
2023,Hombre,Vía terrestre,Asia,60+,65
2023,Hombre,Vía terrestre,Oceanía,<25,59
2023,Mujer,Vía Aérea,África,60+,58
2023,Hombre,Vía Aérea,África,60+,57
2023,Hombre,Vía Marítimo,América,<25,57
2023,Mujer,Vía Marítimo,América,<25,53
